contrato_id,regime_ativo,dsp_ultima_campanha_informada,ultima_campanha_informada,dsp_principal_campanha_informada,principal_campanha_informada
000180509391a5ac66ff83cae603ffb8,64,5,1,5,1
000180509391a5ac66ff83cae603ffb8,65,0,2,0,2
000c35a61297edadc2842f6d5b4028e1,12,5,1,5,1
000c35a61297edadc2842f6d5b4028e1,61,0,1,0,1
000c35a61297edadc2842f6d5b4028e1,70,7,1,7,1
000c35a61297edadc2842f6d5b4028e1,92,90,6,90,6
000dcdc93a545ee45a1aee85ef85c34a,4,17,3,17,3
000dcdc93a545ee45a1aee85ef85c34a,8,7,1,7,1
000dcdc93a545ee45a1aee85ef85c34a,12,0,1,0,1
000dcdc93a545ee45a1aee85ef85c34a,14,15,3,15,3
000dcdc93a545ee45a1aee85ef85c34a,18,7,1,7,1
000dcdc93a545ee45a1aee85ef85c34a,20,15,3,15,3
000dcdc93a545ee45a1aee85ef85c34a,22,7,1,7,1
000dcdc93a545ee45a1aee85ef85c34a,24,15,3,15,3
000dcdc93a545ee45a1aee85ef85c34a,26,60,5,60,5
000dcdc93a545ee45a1aee85ef85c34a,28,30,4,30,4
0014cccd47b66a47af4e62c4dcbe95f1,73,0,1,0,1
0014cccd47b66a47af4e62c4dcbe95f1,139,0,1,0,1
0014cccd47b66a47af4e62c4dcbe95f1,182,7,1,7,1
0014cccd47b66a47af4e62c4dcbe95f1,189,0,2,0,2
0014cccd47b66a47af4e62c4dcbe95f1,208,15,1,10,2
001621e2d725ab3d3773692745be79b2,28,5,1,5,1
001621e2d725ab3d3773692745be79b2,98,5,1,5,1
001621e2d725ab3d3773692745be79b2,102,0,1,0,1
001621e2d725ab3d3773692745be79b2,116,5,1,5,1
001621e2d725ab3d3773692745be79b2,125,0,2,0,2
001621e2d725ab3d3773692745be79b2,134,5,1,5,1
00208e68789d39fbdf3f16597d2e9794,43,0,1,0,1
00208e68789d39fbdf3f16597d2e9794,64,1,1,1,1
00208e68789d39fbdf3f16597d2e9794,69,0,2,0,2
00208e68789d39fbdf3f16597d2e9794,75,0,3,0,3
00208e68789d39fbdf3f16597d2e9794,121,0,1,0,1
00208e68789d39fbdf3f16597d2e9794,137,0,2,0,2
00208e68789d39fbdf3f16597d2e9794,147,0,1,0,1
00208e68789d39fbdf3f16597d2e9794,169,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,22,1,1,1,1
0024e3d24e30f0cecd7880e59f1eaab5,52,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,72,2,1,2,1
0024e3d24e30f0cecd7880e59f1eaab5,86,5,1,5,1
0024e3d24e30f0cecd7880e59f1eaab5,88,2,3,2,3
0024e3d24e30f0cecd7880e59f1eaab5,92,1,1,1,1
0024e3d24e30f0cecd7880e59f1eaab5,93,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,104,12,2,12,2
0024e3d24e30f0cecd7880e59f1eaab5,114,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,117,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,118,5,1,5,1
0024e3d24e30f0cecd7880e59f1eaab5,121,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,130,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,136,1,1,1,1
0024e3d24e30f0cecd7880e59f1eaab5,138,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,140,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,141,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,152,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,154,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,156,1,1,1,1
0024e3d24e30f0cecd7880e59f1eaab5,158,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,160,7,1,7,1
0024e3d24e30f0cecd7880e59f1eaab5,164,1,1,1,1
0024e3d24e30f0cecd7880e59f1eaab5,172,5,1,5,1
0024e3d24e30f0cecd7880e59f1eaab5,174,5,1,5,1
0024e3d24e30f0cecd7880e59f1eaab5,176,0,2,0,2
0024e3d24e30f0cecd7880e59f1eaab5,186,5,1,5,1
0024e3d24e30f0cecd7880e59f1eaab5,188,0,2,0,2
0024e3d24e30f0cecd7880e59f1eaab5,191,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,197,0,1,0,1
0024e3d24e30f0cecd7880e59f1eaab5,198,5,1,5,1
002ad4fcb555ef204cabddbcf358d657,15,0,1,0,1
002ad4fcb555ef204cabddbcf358d657,20,1,2,1,2
002ad4fcb555ef204cabddbcf358d657,126,0,1,0,1
002ca102ee148d919f3bfae3885cdcfd,11,0,1,0,1
0030fb89b2733e42144ebbdafcb4ff74,122,5,1,5,1
00390c6d4fd287d93efdd7a4a26c543c,18,5,1,5,1
00390c6d4fd287d93efdd7a4a26c543c,26,10,2,10,2
00390c6d4fd287d93efdd7a4a26c543c,37,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,38,10,2,10,2
00390c6d4fd287d93efdd7a4a26c543c,46,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,52,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,54,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,55,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,61,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,64,1,1,1,1
00390c6d4fd287d93efdd7a4a26c543c,66,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,71,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,77,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,88,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,90,0,1,0,1
00390c6d4fd287d93efdd7a4a26c543c,92,0,1,0,1
00403d9e2059b067f2723caf776e97d8,28,5,1,5,1
00403d9e2059b067f2723caf776e97d8,48,5,1,5,1
00444b1863e7fdb2a6e63f2a866d0184,18,5,1,5,1
00444b1863e7fdb2a6e63f2a866d0184,22,5,1,5,1
00444b1863e7fdb2a6e63f2a866d0184,24,10,2,10,2
00444b1863e7fdb2a6e63f2a866d0184,26,0,3,0,3
00444b1863e7fdb2a6e63f2a866d0184,28,6,3,6,3
00444b1863e7fdb2a6e63f2a866d0184,44,7,1,7,1
00444b1863e7fdb2a6e63f2a866d0184,56,5,1,5,1
00444b1863e7fdb2a6e63f2a866d0184,58,5,1,5,1
00444b1863e7fdb2a6e63f2a866d0184,60,5,1,5,1
0049a81b4e7af1b5eb0006c730afe0e4,25,0,1,0,1
0049a81b4e7af1b5eb0006c730afe0e4,28,7,1,7,1
0049a81b4e7af1b5eb0006c730afe0e4,30,5,1,5,1
0049a81b4e7af1b5eb0006c730afe0e4,32,3,1,0,2
0049a81b4e7af1b5eb0006c730afe0e4,36,10,2,10,2
0049a81b4e7af1b5eb0006c730afe0e4,40,1,1,1,1
0049a81b4e7af1b5eb0006c730afe0e4,42,5,1,4,3
0049a81b4e7af1b5eb0006c730afe0e4,44,5,1,5,1
0049a81b4e7af1b5eb0006c730afe0e4,58,15,3,15,3
0049a81b4e7af1b5eb0006c730afe0e4,62,5,1,5,1
0049a81b4e7af1b5eb0006c730afe0e4,64,1,2,1,2
0049a81b4e7af1b5eb0006c730afe0e4,66,15,3,15,3
0049a81b4e7af1b5eb0006c730afe0e4,72,5,1,5,1
0049a81b4e7af1b5eb0006c730afe0e4,74,17,3,17,3
0049a81b4e7af1b5eb0006c730afe0e4,76,10,2,10,2
0049a81b4e7af1b5eb0006c730afe0e4,78,90,6,90,6
005a0befce4ae9fba84ee3d7c256b59b,100,10,2,10,2
006179e504cf6e167261122484692f0b,33,0,1,0,1
006179e504cf6e167261122484692f0b,35,0,1,0,1
006179e504cf6e167261122484692f0b,43,0,1,0,1
006179e504cf6e167261122484692f0b,46,0,1,0,1
006179e504cf6e167261122484692f0b,65,0,1,0,1
006179e504cf6e167261122484692f0b,71,0,2,0,2
006179e504cf6e167261122484692f0b,80,1,1,1,1
006179e504cf6e167261122484692f0b,90,1,2,1,2
006179e504cf6e167261122484692f0b,102,1,1,1,1
006179e504cf6e167261122484692f0b,104,30,4,30,4
006179e504cf6e167261122484692f0b,110,7,1,7,1
006179e504cf6e167261122484692f0b,116,5,1,5,1
006179e504cf6e167261122484692f0b,118,5,1,5,1
006179e504cf6e167261122484692f0b,120,15,3,15,3
006179e504cf6e167261122484692f0b,122,62,5,62,5
006179e504cf6e167261122484692f0b,126,12,2,12,2
006179e504cf6e167261122484692f0b,128,30,4,30,4
00677f14c8e92c0bf800458536ef178c,48,1,1,1,1
007432339e3cf10a14800b37535c58db,4,10,2,10,2
007432339e3cf10a14800b37535c58db,8,5,1,5,1
007432339e3cf10a14800b37535c58db,16,60,5,60,5
007432339e3cf10a14800b37535c58db,20,10,2,10,2
007432339e3cf10a14800b37535c58db,22,92,6,92,6
007f1118f0ef2f7751b269c82380cb63,18,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,24,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,50,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,54,7,1,7,1
007f1118f0ef2f7751b269c82380cb63,58,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,60,0,2,0,2
007f1118f0ef2f7751b269c82380cb63,78,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,90,5,1,5,1
007f1118f0ef2f7751b269c82380cb63,100,1,1,1,1
007f1118f0ef2f7751b269c82380cb63,104,7,1,7,1
007f1118f0ef2f7751b269c82380cb63,116,5,1,5,1
008149b946fd3834091f91fedfd57be9,2,5,1,5,1
008149b946fd3834091f91fedfd57be9,6,5,1,5,1
008149b946fd3834091f91fedfd57be9,8,0,2,0,2
008149b946fd3834091f91fedfd57be9,10,5,1,5,1
008149b946fd3834091f91fedfd57be9,12,7,1,1,2
008149b946fd3834091f91fedfd57be9,18,5,1,3,2
008149b946fd3834091f91fedfd57be9,22,12,2,12,2
0082e98cd3ba9e184a41f2b0ba6909e0,14,5,1,5,1
0082e98cd3ba9e184a41f2b0ba6909e0,24,0,1,0,1
0082e98cd3ba9e184a41f2b0ba6909e0,28,5,1,5,1
0082e98cd3ba9e184a41f2b0ba6909e0,30,1,2,1,2
0082e98cd3ba9e184a41f2b0ba6909e0,34,5,1,0,2
0082e98cd3ba9e184a41f2b0ba6909e0,38,5,1,5,1
0082e98cd3ba9e184a41f2b0ba6909e0,45,0,1,0,1
0082e98cd3ba9e184a41f2b0ba6909e0,48,1,1,1,1
0082e98cd3ba9e184a41f2b0ba6909e0,54,15,3,15,3
0082e98cd3ba9e184a41f2b0ba6909e0,56,15,3,15,3
0082e98cd3ba9e184a41f2b0ba6909e0,58,15,3,15,3
0082e98cd3ba9e184a41f2b0ba6909e0,60,32,4,32,4
0082e98cd3ba9e184a41f2b0ba6909e0,62,30,4,30,4
0082e98cd3ba9e184a41f2b0ba6909e0,64,5,1,2,3
0082e98cd3ba9e184a41f2b0ba6909e0,68,15,3,15,3
0082e98cd3ba9e184a41f2b0ba6909e0,70,10,2,10,2
00984062cbd84f5e475b31c35fd70423,30,17,3,17,3
00984062cbd84f5e475b31c35fd70423,40,1,2,1,2
00984062cbd84f5e475b31c35fd70423,49,0,3,0,3
00984062cbd84f5e475b31c35fd70423,99,0,1,0,1
009e49a2c971611cbb485331a9d15bf3,58,5,1,5,1
00a20ce6b16ef5882b3331543f26e30b,2,5,1,5,1
00a20ce6b16ef5882b3331543f26e30b,4,5,1,5,1
